Date,Add1(in Thousands),Add2(in Thousands),Add3(in Thousands),Add4(in Thousands),Add5(in Thousands),Profit(in Thousands)
2018-10-08,208,222.25,206.85,216,215.15,4093.065
2018-10-05,217,218.6,205.9,210.25,209.2,4042.448
2018-10-04,223.5,227.8,216.15,217.25,218.2,4213.819
2018-10-03,230,237.5,225.75,226.45,227.6,4391.665
2018-10-01,234.55,234.6,221.05,230.3,230.9,4350.683
2018-09-28,234.05,235.95,230.2,233.5,233.75,4404.686
2018-09-27,234.55,236.8,231.1,233.8,233.25,4418.709
2018-09-26,240,240,232.5,235,234.25,4470.775
2018-09-25,233.3,236.75,232,236.25,236.1,4425.005
2018-09-24,233.55,239.2,230.75,234,233.3,4446.441
2018-09-21,235,237,227.95,233.75,234.6,4411.775
2018-09-19,235.95,237.2,233.45,234.6,234.9,4435.571
2018-09-18,237.9,239.25,233.5,235.5,235.05,4464.11
2018-09-17,233.15,238,230.25,236.4,236.6,4434.805
2018-09-14,223.45,236.7,223.3,234,233.95,4379.901
2018-09-12,216.35,223.7,212.65,221.65,222.65,4152.066
2018-09-11,222.5,225.4,214.85,216.35,216,4175.677
2018-09-10,222.5,235.15,220.65,221.05,222,4326.782
2018-09-07,221,224.5,219.1,223.15,222.95,4190.965
2018-09-06,224,225,218.2,220.95,221.05,4193.095
2018-09-05,222,224.6,215.2,222.1,222.4,4178.008
2018-09-04,238.2,238.2,222.6,223.45,223.7,4390.996
2018-09-03,236,243.55,235.05,236.85,236.7,4523.704
2018-08-31,237,239.75,232.95,234.65,234.3,4465.95
2018-08-30,235.35,237.3,232.1,237.3,236,4435.174
2018-08-29,233.85,237.7,232.7,234.2,234.55,4436.321
2018-08-28,237,239.3,231.3,232.9,233.35,4451.999
2018-08-27,231.8,239.35,231.05,236.8,237.05,4453.773
2018-08-24,234.5,237.2,230.2,231.5,231,4416.136
2018-08-23,240.3,240.6,233.1,235.5,235.45,4482.183
2018-08-21,246.9,246.9,239.25,240.9,240.55,4598.292
2018-08-20,244,247,243,244.7,245.15,4617.695
2018-08-17,240.8,244.5,239.2,242.7,243,4566.31
2018-08-16,236.05,242,235.95,240.35,239.35,4513.6
2018-08-14,235,238.5,235,237.4,237.55,4461.325
2018-08-13,233,236.45,232.25,235.2,234.55,4419.421
2018-08-10,237.3,237.95,231.1,233.65,233.55,4435.816
2018-08-09,236.65,239.85,235.3,237.25,237.3,4480.363
2018-08-08,237.25,240.5,235.05,236.35,236.35,4486.38
